Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2015-06-26,2015,6,26,Friday,25,2015-25,473.5,477.58,471.38,474.67,67600.0,456.73,0.0034670377964043375,461.9535714285715,461.85599999999977
2015-06-29,2015,6,29,Monday,26,2015-26,471.95,472.86,464.58,464.58,43700.0,447.02,-0.021256874671342074,461.35357142857146,461.6185999999998
2015-06-30,2015,6,30,Tuesday,26,2015-26,467.25,472.38,465.75,468.76,99900.0,451.04,0.008997383676555781,460.7957142857143,461.4607999999998
2015-07-01,2015,7,1,Wednesday,26,2015-26,471.9,482.38,471.9,482.01,116800.0,463.79,0.02826602200431272,460.79642857142863,461.63459999999986
2015-07-02,2015,7,2,Thursday,26,2015-26,482.25,486.0,481.0,484.15,62600.0,465.85,0.004439715041792525,461.0450000000001,461.88499999999976
2015-07-06,2015,7,6,Monday,27,2015-27,482.94,487.19,481.13,486.85,52600.0,468.45,0.005576784122182321,461.51285714285723,462.10779999999977
2015-07-07,2015,7,7,Tuesday,27,2015-27,487.85,493.01,484.13,489.39,96600.0,470.89,0.0052173261586168085,461.9678571428572,462.3461999999997
2015-07-08,2015,7,8,Wednesday,27,2015-27,488.0,488.17,482.49,484.13,71000.0,465.83,-0.010748147458307211,462.0492857142858,462.5025999999998
2015-07-09,2015,7,9,Thursday,27,2015-27,486.35,487.6,482.78,484.23,40700.0,465.93,0.00020655851115392032,461.9657142857144,462.6141999999998
2015-07-10,2015,7,10,Friday,27,2015-27,486.94,495.56,484.17,495.21,60200.0,476.49,0.02267515252731722,462.9292857142858,462.95119999999986
2015-07-13,2015,7,13,Monday,28,2015-28,497.5,497.94,490.24,492.64,67200.0,474.02,-0.00518964392241017,463.4692857142858,463.3191999999999
2015-07-14,2015,7,14,Tuesday,28,2015-28,493.48,499.97,492.98,497.57,69600.0,478.77,0.01000723760712674,464.2364285714286,463.7371999999999
2015-07-15,2015,7,15,Wednesday,28,2015-28,498.95,500.52,495.01,496.52,47800.0,477.76,-0.002110312478208143,465.5514285714286,464.02719999999994
2015-07-16,2015,7,16,Thursday,28,2015-28,504.66,504.72,493.7,501.99,63500.0,483.02,0.011016671828991687,467.5421428571429,464.55319999999995
2015-07-17,2015,7,17,Friday,28,2015-28,500.08,501.72,495.83,497.54,71800.0,478.74,-0.008864601854562837,469.11428571428576,464.92979999999994
2015-07-20,2015,7,20,Monday,29,2015-29,498.17,500.33,494.82,497.27,43700.0,478.48,-0.000542733644953608,471.3614285714285,465.2256
2015-07-21,2015,7,21,Tuesday,29,2015-29,496.58,496.58,489.49,491.62,54200.0,473.04,-0.011362074462748617,472.93285714285713,465.4396
